﻿Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
VAUBOYEN;87393538;JOB;2025-06-02;2025;C;V;Après 20h;4
VAUCELLES;87276626;JOB;2024-01-16;2024;H;H;De 10h à 16h;227
VAUCRESSON;87382267;SAM;2024-01-20;2024;L;L2;Après 20h;117
VERNOU-SUR-SEINE;87682468;DIM;2024-01-21;2024;R;R;De 10h à 16h;24
VERNOU-SUR-SEINE;87682468;JOB;2024-01-16;2024;R;R;De 10h à 16h;27
VERNOUILLET-VERNEUIL;87386656;DIM;2021-05-12;2021;J;J5;De 16h à 20h;233
VERNOUILLET-VERNEUIL;87386656;JOB;2025-01-04;2025;J;J5;Après 20h;88
VERSAILLES-CHANTIERS;87393009;DIM;2024-04-28;2024;U;U;De 16h à 20h;664
VERSAILLES-CHANTIERS;87393009;DIM;2025-09-02;2025;C;C;De 16h à 20h;212
VERSAILLES-CHANTIERS;87393009;JOB;2024-04-23;2024;U;U;Avant 6h;42
VERSAILLES-CHANTIERS;87393009;JOB;2024-04-23;2024;U;U;De 10h à 16h;618
VERSAILLES-CHANTIERS;87393009;JOB;2025-06-02;2025;C;V;De 6h à 10h;1158
VERSAILLES-RIVE-DROITE;87382861;JOB;2024-01-16;2024;L;L2;De 6h à 10h;3477
VIGNEUX-SUR-SEINE;87681304;DIM;2024-03-03;2024;D;D;De 16h à 20h;1190
VILLAINES;87272021;JOB;2024-01-16;2024;H;H;Après 20h;3
VILLENEUVE-TRIAGE;87681809;DIM;2024-03-03;2024;D;D;De 10h à 16h;499
VILLEPREUX-LES-CLAYES;87393413;JOB;2024-01-16;2024;N;N;De 16h à 20h;557
VILLIERS-SUR-MARNE-LE-PLESSIS-TREVISE;87113795;SAM;2022-03-19;2022;E;E;De 16h à 20h;1492
VIROFLAY-RIVE-DROITE;87382887;SAM;2024-01-20;2024;L;L2;Avant 6h;13
VULAINES-SUR-SEINE-SAMOREAU;87682443;SAM;2024-01-20;2024;R;R;De 10h à 16h;38
YERRES;87682112;DIM;2024-03-03;2024;D;D;De 16h à 20h;521
ALLEE-ROYALE;87710913;SAM;2023-10-14;2023;T13;T13;De 10h à 16h;31
ARGENTEUIL;87381848;JOB;2024-01-16;2024;J;J4;De 6h à 10h;3013
ARGENTEUIL;87381848;JOB;2024-01-16;2024;J;J6;De 10h à 16h;3839
ARGENTEUIL;87381848;SAM;2024-01-20;2024;J;J4;Avant 6h;169
ASNIERES-SUR-SEINE;87381137;DIM;2024-01-21;2024;J;J4;Avant 6h;23
ASNIERES-SUR-SEINE;87381137;JOB;2024-01-16;2024;J;J4;De 10h à 16h;1877
ATHIS-MONS;87545251;DIM;2025-09-02;2025;C;C;De 10h à 16h;497
ATHIS-MONS;87545251;JOB;2025-11-02;2025;C;C;De 10h à 16h;502
ATHIS-MONS;87545251;SAM;2025-08-02;2025;C;C;Après 20h;112
AULNAY-SOUS-BOIS;87271411;JOB;2023-10-10;2023;B;B;Avant 6h;1417
AVENUE-FOCH;87381038;JOB;2025-06-02;2025;C;C;Avant 6h;3
AVENUE-HENRI-MARTIN;87381046;DIM;2025-09-02;2025;C;C;De 10h à 16h;254
AVENUE-HENRI-MARTIN;87381046;SAM;2025-08-02;2025;C;C;De 16h à 20h;401
BAILLY;87710780;SAM;2023-10-14;2023;T13;T13;De 10h à 16h;143
BECON-LES-BRUYERES;87382002;JOB;2024-01-16;2024;L;L2;Avant 6h;50
BESSANCOURT;87276642;JOB;2024-01-16;2024;H;H;Avant 6h;56
BESSANCOURT;87276642;SAM;2024-01-20;2024;H;H;Avant 6h;21
BEYNES;87393363;DIM;2024-01-21;2024;N;N;De 10h à 16h;69
BOIGNEVILLE;87684407;SAM;2024-02-03;2024;D;D;De 6h à 10h;3
BOIS-DE-SAINT-EUTROPE;87745984;DIM;2024-01-12;2024;T12;T12;De 10h à 16h;31
BOISSY-L'AILLERIE;87381152;SAM;2024-01-20;2024;J;J6;De 6h à 10h;53
BONDY;87113407;DIM;2022-03-20;2022;E;E;De 6h à 10h;1069
BONDY;87113407;SAM;2021-11-09;2021;T4;T4;Après 20h;705
BONDY;87113407;SAM;2021-11-09;2021;T4;T4;De 16h à 20h;1511
BORAN-SUR-OISE;87276444;JOB;2024-01-16;2024;H;H;Avant 6h;1
BOUFFEMONT-MOISSELLES;87276485;SAM;2024-01-20;2024;H;H;De 6h à 10h;183
BOUGIVAL;87382440;DIM;2024-01-21;2024;L;L2;De 10h à 16h;222
BOULAINVILLIERS;87543181;DIM;2025-09-02;2025;C;C;De 6h à 10h;113
BOURRON-MARLOTTE-GREZ;87684118;SAM;2024-01-20;2024;R;R;De 6h à 10h;44
BOUSSY-SAINT-ANTOINE;87682138;JOB;2024-05-03;2024;D;D;De 6h à 10h;2666
BRETIGNY;87545194;SAM;2025-08-02;2025;C;C;Avant 6h;245
BREUILLET-VILLAGE;87545491;SAM;2025-08-02;2025;C;C;De 10h à 16h;329
BRUNOY;87682120;DIM;2024-03-03;2024;D;D;Avant 6h;37
BRUNOY;87682120;DIM;2024-03-03;2024;D;D;De 16h à 20h;803
BRUNOY;87682120;JOB;2024-05-03;2024;D;D;Après 20h;215
CERGY-SAINT-CHRISTOPHE;87382499;JOB;2024-01-16;2024;L;L3;De 6h à 10h;1154
CERNAY;87276063;DIM;2024-01-21;2024;H;H;De 10h à 16h;375
CESSON;87682161;JOB;2024-05-03;2024;D;D;De 10h à 16h;709
CHAMARANDE;87545152;DIM;2025-09-02;2025;C;C;Avant 6h;3
CHAMPAGNE-SUR-OISE;87276519;DIM;2024-01-21;2024;H;H;De 16h à 20h;74
CHAMPBENOIST-POIGNY;87115873;SAM;2023-11-18;2023;P;P;De 16h à 20h;58
